source_dataset,target_dataset,task,path
manual.tecAllianceUpstep2018,clean.tecAllianceUpstep2017,CleansingTecAllianceUpstepTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/vehicledata/tirefitments/tecalliance/upstep/CleansingTecAllianceUpstepTask.scala
manual.tecAllianceUpstep2018,clean.tecAllianceUpstep2018,CleansingTecAllianceUpstepTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/vehicledata/tirefitments/tecalliance/upstep/CleansingTecAllianceUpstepTask.scala
manual.tecAllianceUpstep2018,clean.tecAllianceUpstep2019,CleansingTecAllianceUpstepTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/vehicledata/tirefitments/tecalliance/upstep/CleansingTecAllianceUpstepTask.scala
manual.ukTireReplacementCurves,clean.ukTireReplacementCurves,CleansingUkTireReplacementCurvesTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/vehicledata/tirereplacementcurves/CleansingUkTireReplacementCurvesTask.scala
manual.ihsSegments,clean.ihsSegments,CleansingIhsSegmentsTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/vehicledata/vehiclesegments/ihssegments/CleansingIhsSegmentsTask.scala
manual.segmentConversion,clean.segmentConversion,CleansingVehicleSegmentConversionTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/vehicledata/vehiclesegments/segmentconversion/CleansingVehicleSegmentConversionTask.scala
raw.vendavoTransactions,clean.vendavoTransactions,VendavoTransactionsTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/vendavotransactions/VendavoTransactionsTask.scala
raw.activationBrands,clean.activationBrands,ActivationBrandTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/internal/activations/brand/ActivationBrandTask.scala
raw.activationCampaigns,clean.activationCampaigns,ActivationCampaignsTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/internal/activations/campaigns/ActivationCampaignsTask.scala
raw.activationCampaignType,clean.activationCampaignType,ActivationCampaignTypeTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/internal/activations/campaign_type/ActivationCampaignTypeTask.scala
raw.activationPos,clean.activationPos,ActivationPosTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/internal/activations/pos_activated/ActivationPosTask.scala
raw.activationSeasons,clean.activationSeasons,ActivationSeasonTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/internal/activations/seasons/ActivationSeasonTask.scala
raw.activationZips,clean.activationZips,ActivationZipTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/internal/activations/zip_activated/ActivationZipTask.scala
manual.sizeClassification,clean.sizeClassification,SizeClassificationTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/internal/aldi/pforp/classification/SizeClassificationTask.scala
raw.sccAmounts,clean.sccAmounts,SccAmountTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/internal/aldi/pforp/scc/amounts/SccAmountTask.scala
raw.commercial.mriForecast,clean.commercial.mriTireForecast,MRIForecastTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/internal/commercial/mriforecast/MRIForecastTask.scala
raw.commercial.mriForecast,clean.commercial.mriTireForecastRejected,MRIForecastTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/internal/commercial/mriforecast/MRIForecastTask.scala
raw.commercial.mriForecast,clean.commercial.mriRetreadForecast,MRIForecastTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/internal/commercial/mriforecast/MRIForecastTask.scala
raw.commercial.mriForecast,clean.commercial.mriRetreadForecastRejected,MRIForecastTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/internal/commercial/mriforecast/MRIForecastTask.scala
raw.adDistanceMatrixCache,clean.adDistanceMatrixCache,AdDistanceMatrixCacheTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/internal/distancematrix/cache/aldi/AdDistanceMatrixCacheTask.scala
raw.distanceMatrixCache,clean.distanceMatrixCache,DistanceMatrixCacheTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/internal/distancematrix/cache/DistanceMatrixCacheTask.scala
raw.beadbarCodeEvent,clean.beadbarCodeEvent,BeadbarCodeEventTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/internal/edw/beadbarcodeevent/BeadbarCodeEventTask.scala
raw.copa,clean.copa,CleansingCopaTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/internal/edw/copa/CleansingCopaTask.scala
raw.country,clean.country,CleansingCountryTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/internal/edw/country/CleansingCountryTask.scala
raw.countryExportMapping,clean.countryExportMapping,CleansingCountryExportMappingTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/internal/edw/countryexportmapping/CleansingCountryExportMappingTask.scala
raw.countryHierarchy,clean.countryHierarchy,CountryHierarchyTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/internal/edw/countryhierarchy/CountryHierarchyTask.scala
raw.customerHierarchy,clean.customerHierarchy,CustomerHierarchyTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/internal/edw/customerhierarchy/CustomerHierarchyTask.scala
raw.edwCustomers,clean.edwCustomers,CustomersTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/internal/edw/customers/CustomersTask.scala
raw.edwDemandPlanning,clean.edwDemandPlanning,CleansingDemandPlanningTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/internal/edw/demandplanning/CleansingDemandPlanningTask.scala
raw.EDWEuropoolBrand,clean.EDWEuropoolBrand,CleansingEuropoolBrandTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/internal/edw/europool/brand/CleansingEuropoolBrandTask.scala
raw.EDWEuropoolPotentials,clean.EDWEuropoolPotentials,CleansingEuropoolPotentialsTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/internal/edw/europool/potentials/CleansingEuropoolPotentialsTask.scala
raw.EDWEuropoolSales,clean.EDWEuropoolSales,CleansingEuropoolSalesTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/internal/edw/europool/sales/CleansingEuropoolSalesTask.scala
raw.EDWEuropoolSegmentR3,clean.EDWEuropoolSegmentR3,CleansingEuropoolSegmentR3Task,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/internal/edw/europool/segmentR3/CleansingEuropoolSegmentR3Task.scala
raw.edwExchangeRates,clean.edwExchangeRates,CleansingExchangeRatesTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/internal/edw/exchangerates/CleansingExchangeRatesTask.scala
raw.floorPrice,clean.floorPrice,CleansingFloorPriceTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/internal/edw/floorprice/CleansingFloorPriceTask.scala
raw.marketshareMaterialClassification,clean.marketshareMaterialClassification,CleansingMaterialClassificationTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/internal/edw/marketshare/materialclassification/CleansingMaterialClassificationTask.scala
raw.marketshareSizeTypeMart,clean.marketshareSizeTypeMart,CleansingSizeTypeMartTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/internal/edw/marketshare/sizetypemart/CleansingSizeTypeMartTask.scala
raw.edwMaterialSales,clean.edwMaterialSales,CleansingMaterialSalesOrgTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/internal/edw/materialsalesorg/CleansingMaterialSalesOrgTask.scala
raw.netSales,clean.netSales,NetSalesTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/internal/edw/netsales/NetSalesTask.scala
raw.orderToCashMart,clean.orderToCashMart,CleansingOrderToCashMartTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/internal/edw/otcmart/CleansingOrderToCashMartTask.scala
raw.payerShipToLink,clean.payerShipToLink,PayerShipToLinkTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/internal/edw/payershiptolink/PayerShipToLinkTask.scala
raw.sellIn,clean.sellIn,SellInTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/internal/edw/sellin/SellInTask.scala
manual.activePricingProducts,clean.activePricingProducts,ActivePricingProductsTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/internal/manual/activepricingproducts/ActivePricingProductsTask.scala
manual.brandToTierMapping,clean.brandToTierMapping,BrandToTierMappingTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/internal/manual/brandtotiermapping/BrandToTierMappingTask.scala
manual.designPriority,clean.designPriority,CleansingDesignPriorityTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/internal/manual/designpriority/CleansingDesignPriorityTask.scala
manual.standardVatByCountry,clean.standardVatByCountry,CleansingStandardVatByCountryTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/internal/manual/vatbycountry/CleansingStandardVatByCountryTask.scala
raw.tirePortalTrackData,clean.tirePortalTrackData,CleansingTirePortalTrackDataTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/internal/myway/tireportaltrackdata/CleansingTirePortalTrackDataTask.scala
raw.trackDataXML,clean.trackDataXML,CleansingTrackDataXMLTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/internal/myway/trackdataxml/CleansingTrackDataXMLTask.scala
manual.pointOfSalesGeoCodingResults,clean.pointOfSaleGeoCodingResults,PointOfSalesGeoCodingResultsTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/internal/pointofsale/geocoded/PointOfSalesGeoCodingResultsTask.scala
manual.pointOfSaleLookup,clean.pointOfSaleLookup,PosLookupTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/internal/pointofsale/lookup/PosLookupTask.scala
raw.basketDefinition,clean.basketDefinition,CleansingBasketDefinitionTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/internal/pricing/basketdefinition/CleansingBasketDefinitionTask.scala
raw.designMappingGFKGoodyear,clean.designMappingGFKGoodyear,CleansingDesignMappingGFKGoodyearTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/internal/pricing/designmappinggfkgoodyear/CleansingDesignMappingGFKGoodyearTask.scala
raw.groupedToBasketSizeTypeMapping,clean.groupedToBasketSizeTypeMapping,CleansingGroupedToBasketSizeTypeMappingTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/internal/pricing/groupedtobasketsizetypemapping/CleansingGroupedToBasketSizeTypeMappingTask.scala
raw.platformCustomerMapping,clean.platformCustomerMapping,CleansingPlatformCustomerMappingTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/internal/pricing/platformcustomermapping/CleansingPlatformCustomerMappingTask.scala
raw.offersAppBeadbarcode,clean.offersAppBeadbarcode,CleansingOffersAppBeadbarcodeTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/internal/pricing/suspiciousoffersapp/beadbarcode/CleansingOffersAppBeadbarcodeTask.scala
raw.offersAppCase,clean.offersAppCase,CleansingOffersAppCaseTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/internal/pricing/suspiciousoffersapp/case/CleansingOffersAppCaseTask.scala
raw.offersAppSku,clean.offersAppSku,CleansingOffersAppSkuTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/internal/pricing/suspiciousoffersapp/sku/CleansingOffersAppSkuTask.scala
manual.retailCompetitors,clean.retailCompetitors,CompetitorsTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/internal/retail/competitors/CompetitorsTask.scala
raw.retailRegionalProductMaster,clean.retailRegionalProductMaster,RegionalProductMasterTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/internal/retail/product/RegionalProductMasterTask.scala
manual.oeFitments,clean.oeFitments,CleansingOEFitmentsTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/internal/sharepoint/oefitments/CleansingOEFitmentsTask.scala
manual.oeFitments,clean.oeFitmentsRejected,CleansingOEFitmentsTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/internal/sharepoint/oefitments/CleansingOEFitmentsTask.scala
raw.bmfWholesalerStockData,clean.bmfWholesalerStockData,CleansingBmfWholesalerStockDataTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/internal/stock/bmfwholesalerstockdata/CleansingBmfWholesalerStockDataTask.scala
raw.stockReport,clean.stockReport,CleansingStockReportTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/internal/stock/stockreport/CleansingStockReportTask.scala
v.raws,v.cleans,CleansingABHCarParkTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/legacy/jobs/external/vehicledata/carpark/abh/CleansingABHCarParkTask.scala
v.raws,v.dirtys,CleansingABHCarParkTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/legacy/jobs/external/vehicledata/carpark/abh/CleansingABHCarParkTask.scala
manual.experianTirePark.v2016Q4,cleanLegacy.experianTirePark.v2016Q4,CleansingExperianTirePark2016Task,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/legacy/jobs/external/vehicledata/carpark/experian/CleansingExperianTirePark2016Task.scala
manual.experianTirePark.v2016Q4,cleanLegacy.experianTirePark.v2016Q4Rejected,CleansingExperianTirePark2016Task,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/legacy/jobs/external/vehicledata/carpark/experian/CleansingExperianTirePark2016Task.scala
manual.experianTirePark.v2017Q4,cleanLegacy.experianTirePark.v2017Q4,CleansingExperianTirePark2017Task,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/legacy/jobs/external/vehicledata/carpark/experian/CleansingExperianTirePark2017Task.scala
manual.experianTirePark.v2017Q4,cleanLegacy.experianTirePark.v2017Q4Rejected,CleansingExperianTirePark2017Task,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/legacy/jobs/external/vehicledata/carpark/experian/CleansingExperianTirePark2017Task.scala
manual.experianTirePark.v2019Q4,cleanLegacy.experianTirePark.v2019Q4,CleansingExperianTirePark2019Task,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/legacy/jobs/external/vehicledata/carpark/experian/CleansingExperianTirePark2019Task.scala
manual.experianTirePark.v2019Q4,cleanLegacy.experianTirePark.v2019Q4Rejected,CleansingExperianTirePark2019Task,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/legacy/jobs/external/vehicledata/carpark/experian/CleansingExperianTirePark2019Task.scala
manual.germanTirePark.v2017,cleanLegacy.germanTirePark.v2017,CleansingGermanyTirePark2017Task,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/legacy/jobs/external/vehicledata/carpark/germany/CleansingGermanyTirePark2017Task.scala
manual.tecAllianceCarParkHistorical,cleanLegacy.tecAllianceCarParkHistorical,CleansingTecAllianceCarParkHistoricalTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/legacy/jobs/external/vehicledata/carpark/tecalliance/historical/CleansingTecAllianceCarParkHistoricalTask.scala
manual.tecAllianceCarPark.v2016,cleanLegacy.tecAllianceCarPark.v2016,CleansingTecAllianceCarPark2016Task,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/legacy/jobs/external/vehicledata/carpark/tecalliance/year2016/CleansingTecAllianceCarPark2016Task.scala
manual.tecAllianceCarPark.v2017,cleanLegacy.tecAllianceCarPark.v2017,CleansingTecAllianceCarPark2017Task,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/legacy/jobs/external/vehicledata/carpark/tecalliance/year2017/CleansingTecAllianceCarPark2017Task.scala
manual.tecAllianceCarPark.v2018,cleanLegacy.tecAllianceCarPark.v2018,CleansingTecAllianceCarPark2018Task,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/legacy/jobs/external/vehicledata/carpark/tecalliance/year2018/CleansingTecAllianceCarPark2018Task.scala
manual.strimForecast.by2019,cleanLegacy.strimForecast.by2019.link,CleansingForecast2019Task,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/legacy/jobs/external/vehicledata/strimforecast/CleansingForecast2019Task.scala
manual.strimForecast.by2019,cleanLegacy.strimForecast.by2019Rejected.link,CleansingForecast2019Task,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/legacy/jobs/external/vehicledata/strimforecast/CleansingForecast2019Task.scala
manual.strimForecast.by2020,cleanLegacy.strimForecast.by2020.link,CleansingForecast2020Task,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/legacy/jobs/external/vehicledata/strimforecast/CleansingForecast2020Task.scala
manual.strimForecast.by2020,cleanLegacy.strimForecast.by2020Rejected.link,CleansingForecast2020Task,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/legacy/jobs/external/vehicledata/strimforecast/CleansingForecast2020Task.scala
manual.strimForecast.by2021,cleanLegacy.strimForecast.by2021.link,CleansingForecast2021Task,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/legacy/jobs/external/vehicledata/strimforecast/CleansingForecast2021Task.scala
manual.strimForecast.by2021,cleanLegacy.strimForecast.by2021Rejected.link,CleansingForecast2021Task,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/legacy/jobs/external/vehicledata/strimforecast/CleansingForecast2021Task.scala
