source_dataset,target_dataset,task,path
clean.sellinPricing,ped.sellin,SellinTask,https://bitbucket.org/emea_cf/datalake-ped/src/master/datalake-ped-jobs/src/main/scala/com/goodyear/datalake/ped/jobs/sellin/SellinTask.scala
mdm.tireMaster,ped.tireMaster,TireMasterTask,https://bitbucket.org/emea_cf/datalake-ped/src/master/datalake-ped-jobs/src/main/scala/com/goodyear/datalake/ped/jobs/tiremaster/TireMasterTask.scala
clean.knowtrexMasterData,ped.tireMaster,TireMasterTask,https://bitbucket.org/emea_cf/datalake-ped/src/master/datalake-ped-jobs/src/main/scala/com/goodyear/datalake/ped/jobs/tiremaster/TireMasterTask.scala
clean.zero7zrPricing,ped.tireMaster,TireMasterTask,https://bitbucket.org/emea_cf/datalake-ped/src/master/datalake-ped-jobs/src/main/scala/com/goodyear/datalake/ped/jobs/tiremaster/TireMasterTask.scala
clean.tire24DailyPricing,ped.tireMaster,TireMasterTask,https://bitbucket.org/emea_cf/datalake-ped/src/master/datalake-ped-jobs/src/main/scala/com/goodyear/datalake/ped/jobs/tiremaster/TireMasterTask.scala
clean.lizeoWeeklyPricing,ped.tireMaster,TireMasterTask,https://bitbucket.org/emea_cf/datalake-ped/src/master/datalake-ped-jobs/src/main/scala/com/goodyear/datalake/ped/jobs/tiremaster/TireMasterTask.scala
clean.activePricingProducts,ped.tireMaster,TireMasterTask,https://bitbucket.org/emea_cf/datalake-ped/src/master/datalake-ped-jobs/src/main/scala/com/goodyear/datalake/ped/jobs/tiremaster/TireMasterTask.scala
clean.brandToTierMapping,ped.tireMaster,TireMasterTask,https://bitbucket.org/emea_cf/datalake-ped/src/master/datalake-ped-jobs/src/main/scala/com/goodyear/datalake/ped/jobs/tiremaster/TireMasterTask.scala
mdm.consumerSizeMaster,ped.tireMaster,TireMasterTask,https://bitbucket.org/emea_cf/datalake-ped/src/master/datalake-ped-jobs/src/main/scala/com/goodyear/datalake/ped/jobs/tiremaster/TireMasterTask.scala
clean.groupedToBasketSizeTypeMapping,ped.tireMaster,TireMasterTask,https://bitbucket.org/emea_cf/datalake-ped/src/master/datalake-ped-jobs/src/main/scala/com/goodyear/datalake/ped/jobs/tiremaster/TireMasterTask.scala
clean.basketDefinition,ped.tireMaster,TireMasterTask,https://bitbucket.org/emea_cf/datalake-ped/src/master/datalake-ped-jobs/src/main/scala/com/goodyear/datalake/ped/jobs/tiremaster/TireMasterTask.scala
clean.vendavoTransactions,ped.vendavoTransactionsCalc,VendavoTransactionsCalcTask,https://bitbucket.org/emea_cf/datalake-ped/src/master/datalake-ped-jobs/src/main/scala/com/goodyear/datalake/ped/jobs/vendavotransactionscalc/VendavoTransactionsCalcTask.scala
clean.edwExchangeRates,ped.vendavoTransactionsCalc,VendavoTransactionsCalcTask,https://bitbucket.org/emea_cf/datalake-ped/src/master/datalake-ped-jobs/src/main/scala/com/goodyear/datalake/ped/jobs/vendavotransactionscalc/VendavoTransactionsCalcTask.scala
ped.vendavoTransactionsCalc,ped.weightingDesignSellin,WeightingDesignSellinTask,https://bitbucket.org/emea_cf/datalake-ped/src/master/datalake-ped-jobs/src/main/scala/com/goodyear/datalake/ped/jobs/weightingdesignsellin/WeightingDesignSellinTask.scala
ped.tireMaster,ped.weightingDesignSellin,WeightingDesignSellinTask,https://bitbucket.org/emea_cf/datalake-ped/src/master/datalake-ped-jobs/src/main/scala/com/goodyear/datalake/ped/jobs/weightingdesignsellin/WeightingDesignSellinTask.scala
mdm.tireMaster,ped.weightingDesignSellin,WeightingDesignSellinTask,https://bitbucket.org/emea_cf/datalake-ped/src/master/datalake-ped-jobs/src/main/scala/com/goodyear/datalake/ped/jobs/weightingdesignsellin/WeightingDesignSellinTask.scala
ped.weightingConfiguration,ped.weightingDesignSellin,WeightingDesignSellinTask,https://bitbucket.org/emea_cf/datalake-ped/src/master/datalake-ped-jobs/src/main/scala/com/goodyear/datalake/ped/jobs/weightingdesignsellin/WeightingDesignSellinTask.scala
ped.gfkconsumerbasketsizetype,ped.weightingDesignSellout,WeightingDesignSelloutTask,https://bitbucket.org/emea_cf/datalake-ped/src/master/datalake-ped-jobs/src/main/scala/com/goodyear/datalake/ped/jobs/weightingdesignsellout/WeightingDesignSelloutTask.scala
ped.weightingConfiguration,ped.weightingDesignSellout,WeightingDesignSelloutTask,https://bitbucket.org/emea_cf/datalake-ped/src/master/datalake-ped-jobs/src/main/scala/com/goodyear/datalake/ped/jobs/weightingdesignsellout/WeightingDesignSelloutTask.scala
manual.carAges,clean.carAges,CarAgeTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/aligneddistribution/carage/CarAgeTask.scala
manual.channelMapping,clean.channelMapping,ChannelMappingTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/aligneddistribution/channelmapping/ChannelMappingTask.scala
manual.driveTime,clean.driveTime,DriveTimeTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/aligneddistribution/drivetime/DriveTimeTask.scala
manual.activationNational,clean.activationNational,ActivationNationalTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/aligneddistribution/pforp/activationarea/national/ActivationNationalTask.scala
manual.activationNational,clean.activationNationalRejected,ActivationNationalTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/aligneddistribution/pforp/activationarea/national/ActivationNationalTask.scala
manual.activationRegional,clean.activationRegional,ActivationRegionalTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/aligneddistribution/pforp/activationarea/regional/ActivationRegionalTask.scala
manual.activationRegional,clean.activationRegionalRejected,ActivationRegionalTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/aligneddistribution/pforp/activationarea/regional/ActivationRegionalTask.scala
manual.eraCoefficient,clean.eraCoefficient,EraCurrencyCoefficientTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/aligneddistribution/pforp/availability/coefficient/EraCurrencyCoefficientTask.scala
manual.eraCoefficient,clean.eraCoefficientRejected,EraCurrencyCoefficientTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/aligneddistribution/pforp/availability/coefficient/EraCurrencyCoefficientTask.scala
manual.rangeAvailability,clean.rangeAvailability,RangeAvailabilityTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/aligneddistribution/pforp/availability/RangeAvailabilityTask.scala
manual.rangeAvailability,clean.rangeAvailabilityRejected,RangeAvailabilityTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/aligneddistribution/pforp/availability/RangeAvailabilityTask.scala
manual.adWhitelist,yearLinks.goodDateAppend,SellOutValidateTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/aligneddistribution/sellout/lizeo/validation/SellOutValidateTask.scala
manual.adWhitelist,yearLinks.blockers,SellOutValidateTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/aligneddistribution/sellout/lizeo/validation/SellOutValidateTask.scala
manual.adWhitelist,yearLinks.blockers,SellOutValidateTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/aligneddistribution/sellout/lizeo/validation/SellOutValidateTask.scala
manual.adWhitelist,yearLinks.goodDate,SellOutValidateTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/aligneddistribution/sellout/lizeo/validation/SellOutValidateTask.scala
yearLinks.goodDate,yearLinks.goodDateAppend,SellOutValidateTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/aligneddistribution/sellout/lizeo/validation/SellOutValidateTask.scala
yearLinks.goodDate,yearLinks.blockers,SellOutValidateTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/aligneddistribution/sellout/lizeo/validation/SellOutValidateTask.scala
yearLinks.goodDate,yearLinks.blockers,SellOutValidateTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/aligneddistribution/sellout/lizeo/validation/SellOutValidateTask.scala
yearLinks.goodDate,yearLinks.goodDate,SellOutValidateTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/aligneddistribution/sellout/lizeo/validation/SellOutValidateTask.scala
